tag,count
OtherShortTermInvestments,3150
TemporaryEquityParOrStatedValuePerShare,3142
DerivativeAssets,3137
AvailableForSaleDebtSecuritiesAmortizedCostBasis,3122
DeferredCostsCurrent,3070
AssetsOfDisposalGroupIncludingDiscontinuedOperation,3067
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,3060
ConvertibleNotesPayable,3050
OtherLongTermDebtNoncurrent,3037
TemporaryEquitySharesAuthorized,2980
ReinsuranceRecoverables,2973
AccountsPayableAndOtherAccruedLiabilities,2936
JuniorSubordinatedDebentureOwedToUnconsolidatedSubsidiaryTrust,2900
LiabilityForClaimsAndClaimsAdjustmentExpense,2871
AdvancePaymentsByBorrowersForTaxesAndInsurance,2861
OtherLongTermInvestments,2854
DeferredIncomeTaxLiabilities,2840
DueFromAffiliateCurrent,2829
AccrualForTaxesOtherThanIncomeTaxesCurrent,2820
AccountsPayableOtherCurrent,2814
RetainedEarningsUnappropriated,2781
RestrictedCashAndInvestmentsCurrent,2778
CashEquivalentsAtCarryingValue,2759
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,2750
PrepaidExpenseCurrentAndNoncurrent,2743
ProductWarrantyAccrualClassifiedCurrent,2722
DepositAssets,2714
MortgageLoansOnRealEstateCommercialAndConsumerNet,2708
PreferredStockLiquidationPreference,2706
DebtAndCapitalLeaseObligations,2698
PayablesToBrokerDealersAndClearingOrganizations,2663
SecurityDepositLiability,2658
DeferredCompensationEquity,2635
PreferredStockLiquidationPreferenceValue,2612
AssetRetirementObligationCurrent,2611
IndefiniteLivedIntangibleAssetsExcludingGoodwill,2589
DueToAffiliateCurrentAndNoncurrent,2573
OilAndGasPropertySuccessfulEffortMethodNet,2560
UnsecuredDebt,2558
LoansReceivableNet,2555
AvailableForSaleSecuritiesAmortizedCost,2544
NoninterestBearingDepositLiabilitiesDomestic,2539
LimitedPartnersCapitalAccountUnitsIssued,2535
InventoryFinishedGoods,2508
OtherShortTermBorrowings,2477
PremiumsReceivableAtCarryingValue,2436
RetainedEarningsAppropriated,2433
DevelopmentInProcess,2432
DepositsAssets,2432
LoansPayable,2416
BillingsInExcessOfCostCurrent,2409
RestrictedCashAndInvestmentsNoncurrent,2406
ReceivablesFromBrokersDealersAndClearingOrganizations,2393
LongTermLoansPayable,2388
SeniorNotes,2386
OtherPrepaidExpenseCurrent,2382
OffMarketLeaseUnfavorable,2362
AccruedIncomeTaxes,2352
BusinessCombinationContingentConsiderationLiabilityNoncurrent,2348
PrepaidExpenseNoncurrent,2321
DeferredRentReceivablesNet,2320
UnbilledReceivablesCurrent,2309
OtherAccountsPayableAndAccruedLiabilities,2299
BusinessCombinationContingentConsiderationLiabilityCurrent,2292
OilAndGasPropertyFullCostMethodNet,2289
CashSurrenderValueOfLifeInsurance,2284
TreasuryStockCommonValue,2283
RealEstateHeldforsale,2254
SeniorLongTermNotes,2249
InterestBearingDepositLiabilitiesDomestic,2247
RegulatoryAssetsCurrent,2241
TreasuryStockCommonShares,2233
AvailableForSaleEquitySecuritiesAmortizedCostBasis,2230
OtherRealEstate,2228
SecuredLongTermDebt,2222
AccountsReceivableGrossCurrent,2216
CertificatesOfDepositAtCarryingValue,2213
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,2157
RestrictedCashCurrent,2155
RealEstateInvestments,2145
ReinsurancePayable,2121
MembersEquity,2115
DeferredRevenueAndCreditsCurrent,2104
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,2095
NotesPayableRelatedPartiesCurrentAndNoncurrent,2090
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,2086
RestrictedInvestments,2057
CostMethodInvestments,2053
ForeclosedAssets,2044
CashCashEquivalentsAndShortTermInvestments,2034
MineralPropertiesNet,2027
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,2025
PropertyPlantAndEquipmentOtherNet,2023
SecuredDebtCurrent,2014
PrepaidReinsurancePremiums,2010
DueFromAffiliates,2000
DeferredOfferingCosts,1984
RegulatoryLiabilityCurrent,1978
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,1966
OtherNotesPayableCurrent,1964
DeferredFinanceCostsCurrentNet,1944
AccountsReceivableNetNoncurrent,1935
AccruedRoyaltiesCurrent,1935
DeferredCompensationLiabilityCurrent,1928
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,1922
DepositsMoneyMarketDeposits,1917
CommonStocksIncludingAdditionalPaidInCapital,1911
OtherAccruedLiabilitiesNoncurrent,1885
GeneralPartnersCapitalAccountUnitsOutstanding,1866
AdvancesOnInventoryPurchases,1854
InventoryNoncurrent,1853
PremiumsAndOtherReceivablesNet,1844
PartnersCapitalAttributableToNoncontrollingInterest,1839
DueFromRelatedPartiesNoncurrent,1829
JuniorSubordinatedNotes,1811
PropertySubjectToOrAvailableForOperatingLeaseNet,1783
Equity,1762
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,1761
LiabilityForFuturePolicyBenefits,1759
SeparateAccountsLiability,1757
FederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchase,1756
DerivativeInstrumentsAndHedgesLiabilities,1747
EmployeeRelatedLiabilitiesCurrentAndNoncurrent,1746
LiabilitiesOfAssetsHeldForSale,1722
UnamortizedDebtIssuanceExpense,1711
RestructuringReserveCurrent,1709
SeparateAccountAssets,1707
NotesAndLoansPayableCurrent,1706
PublicUtilitiesPropertyPlantAndEquipmentNet,1704
EquityAndLiabilities,1696
InventoryValuationReserves,1685
TaxesPayableCurrentAndNoncurrent,1682
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,1676
UnbilledContractsReceivable,1664
InvestmentsAndOtherNoncurrentAssets,1658
PropertyPlantAndEquipment,1650
InventoryFinishedGoodsNetOfReserves,1649
PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,1641
LoansPayableToBankCurrent,1636
ContractWithCustomerAssetNetCurrent,1629
DemandDepositAccounts,1620
LongTermLoansFromBank,1619
RestrictedCash,1619
ServicingAssetAtFairValueAmount,1615
FinanceLeaseLiabilityNoncurrent,1601
AccountsPayableRelatedPartiesCurrentAndNoncurrent,1599
CurrentAssets,1599
OtherAssetsMiscellaneousNoncurrent,1592
AccumulatedDeferredInvestmentTaxCredit,1592
CashAndCashEquivalents,1589
ProvedOilAndGasPropertySuccessfulEffortMethod,1580
InterestReceivableCurrent,1570
DerivativeInstrumentsAndHedges,1565
InventoryWorkInProcess,1564
InventoryGross,1553
InterestAndDividendsPayableCurrent,1552
LoansReceivableHeldForSaleAmount,1549
CurrentLiabilities,1541
EquitySecuritiesFvNi,1531
SecuritiesPurchasedUnderAgreementsToResell,1519
CustomerAdvancesAndDepositsCurrent,1510
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,1510
NoncurrentAssets,1501
OtherLongTermDebtCurrent,1501
NontradeReceivablesCurrent,1491
IssuedCapital,1489
OperatingLeaseLiability,1487
LoansInsurancePolicy,1483
InventoryRawMaterials,1468
AccruedEnvironmentalLossContingenciesNoncurrent,1467
CommissionsPayableToBrokerDealersAndClearingOrganizations,1457
RetainedEarnings,1456
TimeDeposits100000OrMore,1454
AssetRetirementObligation,1447
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,1447
TemporaryEquityCarryingAmount,1446
PublicUtilitiesPropertyPlantAndEquipmentPlantInService,1439
RestrictedCashNoncurrent,1438
PayablesToCustomers,1431
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,1430
BillingsInExcessOfCost,1421
TimeDepositsLessThan100000,1417
StockholdersEquityNoteSubscriptionsReceivable,1415
FederalHomeLoanBankStockAndFederalReserveBankStock,1414
FinanceLeaseLiabilityCurrent,1411
FixturesAndEquipmentGross,1405
AccumulatedAmortizationDeferredFinanceCosts,1404
HeldToMaturitySecuritiesCurrent,1399
CapitalizationLongtermDebtAndEquity,1398
LoansHeldForSaleFairValueDisclosure,1398
IndefiniteLivedLicenseAgreements,1390
CustomerAdvancesAndDeposits,1382
LoansHeldForSaleMortgages,1378
PostemploymentBenefitsLiabilityNoncurrent,1371
InventoryRawMaterialsAndSupplies,1363
AccountsPayable,1355
LandAndLandImprovements,1344
MinorityInterestInOperatingPartnerships,1335
CapitalLeaseObligations,1330
DebtInstrumentUnamortizedDiscountCurrent,1323
OtherInventorySupplies,1316
PrepaidExpenseAndOtherAssetsNoncurrent,1315
ConvertibleDebt,1312
OilAndGasPropertyFullCostMethodGross,1305
AccountsPayableAndAccruedLiabilitiesNoncurrent,1304
TemporaryEquityRedemptionValue,1292
OtherLongTermDebt,1290
DeferredCostsCurrentAndNoncurrent,1278
UnprovedOilAndGasPropertySuccessfulEffortMethod,1270
OilAndGasPropertySuccessfulEffortMethodGross,1266
DeferredTaxLiabilitiesGrossNoncurrent,1262
EscrowDeposit,1247
AccruedEmployeeBenefitsCurrent,1237
SalesAndExciseTaxPayableCurrent,1236
LitigationReserveCurrent,1224
LiabilityForFuturePolicyBenefitsAndUnpaidClaimsAndClaimsAdjustmentExpense,1206
AccruedPayrollTaxesCurrent,1204
InvestmentOwnedAtCost,1197
NotesAndLoansPayable,1189
SelfInsuranceReserveCurrent,1188
NotesPayableToBankCurrent,1168
FederalFundsPurchased,1168
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1166
IndefiniteLivedTrademarks,1146
TradeAndOtherCurrentPayables,1136
CapitalizedComputerSoftwareGross,1135
DepositsNegotiableOrderOfWithdrawalNOW,1132
FinancingReceivableAllowanceForCreditLosses,1130
AccountsReceivableRelatedParties,1130
NoncurrentLiabilities,1124
NotesReceivableRelatedPartiesCurrent,1116
LandAvailableForDevelopment,1114
OtherAdditionalCapital,1113
LongTermInvestmentsAndReceivablesNet,1104
CapitalizedCostsProvedProperties,1102
NotesReceivableRelatedPartiesNoncurrent,1098
UnsecuredLongTermDebt,1088
TemporaryEquityLiquidationPreference,1086
CommonStockSharesSubscribedButUnissued,1077
RestrictedInvestmentsNoncurrent,1077
TradingSecuritiesDebt,1076
InterestReceivableAndOtherAssets,1072
FederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,1059
InvestmentOwnedAtFairValue,1058
DeferredCreditsAndOtherLiabilitiesNoncurrent,1054
CommercialPaper,1054
DeferredCostsLeasingNet,1051
FiniteLivedIntangibleAssetsGross,1049
IntangibleAssetsCurrent,1048
LoansAndLeasesReceivableDeferredIncome,1046
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,1042
AssetsHeldInTrustNoncurrent,1038
Inventories,1034
OtherAccruedLiabilitiesCurrentAndNoncurrent,1031
FinancialInstrumentsSoldNotYetPurchasedAtFairValue,1029
SelfInsuranceReserveNoncurrent,1021
EquityAttributableToOwnersOfParent,1014
LoansReceivableHeldForSaleNetNotPartOfDisposalGroupMortgage,1012
Supplies,1005
ShortTermNonBankLoansAndNotesPayable,1000
AllowanceForNotesAndLoansReceivableCurrent,996
OilAndGasJointInterestBillingReceivablesCurrent,995
RedeemableNoncontrollingInterestEquityCommonCarryingAmount,992
DeferredRentCredit,992
DebtInstrumentUnamortizedDiscountPremiumNet,990
NoncontrollingInterests,987
InventoryWorkInProcessNetOfReserves,976
DerivativeInstrumentsAndHedgesNoncurrent,975
PrepaidExpense,975
DeferredCostsAndOtherAssets,964
AllowanceForLoanAndLeaseLossesRealEstate,961
ManagementFeePayable,958
GeneralPartnersCapitalAccountUnitsIssued,949
AssetsNet,945
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,945
DeferredCompensationLiabilityCurrentAndNoncurrent,942
AccruedSalesCommissionCurrent,942
LiabilityForClaimsAndClaimsAdjustmentExpensePropertyCasualtyLiability,940
AccruedInsuranceCurrent,938
TradeAndOtherCurrentReceivables,937
RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures,935
CapitalizedCostsUnprovedProperties,933
NoninterestBearingDomesticDepositDemand,933
RentalProperties,932
VariableInterestEntityConsolidatedCarryingAmountAssets,931
RelatedPartyTransactionDueFromToRelatedPartyCurrent,931
TradingSecuritiesEquity,924
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,908
OtherPolicyholderFunds,908
LongTermAccountsNotesAndLoansReceivableNetNoncurrent,904
PublicUtilitiesPropertyPlantAndEquipmentConstructionWorkInProgress,903
DeferredTaxAssets,896
MineralRights,895
OtherLongTermNotesPayable,892
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,892
PreferredStockDividendRatePercentage,889
NotesPayableRelatedPartiesCurrent,887
InvestmentsFairValueDisclosure,876
MembersCapital,876
BusinessCombinationContingentConsiderationLiability,873
CommonStockIncludingAdditionalPaidInCapital,872
IncomeTaxesReceivableNoncurrent,865
AssetsHeldForSaleLongLived,862
ValueAddedTaxReceivableCurrent,858
NotesReceivableRelatedParties,857
AssetsHeldForSaleNotPartOfDisposalGroup,856
DueToOtherRelatedPartiesClassifiedCurrent,852
BelowMarketLeaseNet,840
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,840
CommonStockOtherValueOutstanding,838
PrepaidInsurance,838
AccruedEnvironmentalLossContingenciesCurrent,836
OtherLoansPayableCurrent,835
LongtermBorrowings,824
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,819
AllowanceForDoubtfulOtherReceivablesCurrent,818
DerivativeFairValueOfDerivativeLiability,817
AdvanceRent,814
StatutoryAccountingPracticesStatutoryCapitalAndSurplusBalance,807
OtherInvestmentsAndSecuritiesAtCost,804
DeferredRevenueAndCreditsNoncurrent,804
PolicyholderContractDeposits,802
CapitalizedComputerSoftwareAccumulatedAmortization,800
InventoryRawMaterialsNetOfReserves,797
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,797
FDICIndemnificationAsset,794
RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,794
AllowanceForDoubtfulAccountsReceivableNoncurrent,793
ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,789
DepositLiabilitiesAccruedInterest,777
VariableInterestEntityConsolidatedCarryingAmountLiabilities,776
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,775
PropertyPlantAndEquipmentOtherAccumulatedDepreciation,774
DecommissioningFundInvestments,774
DeferredGainOnSaleOfProperty,772
AccountsPayableAndAccruedLiabilities,771
IntangibleAssetsOtherThanGoodwill,771
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,768
CurrentTaxLiabilitiesCurrent,764
LoansAndLeasesReceivableNetReportedAmountCoveredAndNotCovered,761
ReceivablesLongTermContractsOrPrograms,758
AccruedFeesAndOtherRevenueReceivable,753
RestrictedInvestmentsCurrent,748
AvailableForSaleSecuritiesPledgedAsCollateral,744
IndefiniteLivedTradeNames,742
LineOfCreditFacilityAmountOutstanding,741
ServicingAsset,739
FinancialInstrumentsOwnedAtFairValue,727
NotesAndLoansReceivableGrossCurrent,726
SharesSubjectToMandatoryRedemptionSettlementTermsAmount,722
OtherDeferredCostsNet,716
ServicingAssetAtAmortizedValue,715
LoansAndLeasesReceivableRelatedParties,715
DepositsDomestic,713
AssetsHeldForSaleAtCarryingValue,709
CapitalLeasedAssetsGross,706
MortgageLoansOnRealEstate,703
SubordinatedLongTermDebt,702
OtherNotesPayable,700
OtherDeferredCreditsNoncurrent,695
RestructuringReserveNoncurrent,690
SettlementLiabilitiesCurrent,689
CommonStockHeldInTrust,687
SeniorNotesCurrent,682
ProductWarrantyAccrualNoncurrent,681
OtherInventory,680
AccruedMarketingCostsCurrent,678
LimitedPartnersCapitalAccountUnitsAuthorized,677
AccruedProfessionalFeesCurrent,675
DebtInstrumentUnamortizedDiscountNoncurrent,673
OtherDeferredCreditsCurrent,661
RedeemableNoncontrollingInterestEquityFairValue,658
InventoryRealEstate,658
LandImprovements,651
MineReclamationAndClosingLiabilityNoncurrent,648
CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortizationCumulative,648
HeldToMaturitySecuritiesNoncurrent,647
WorkersCompensationLiabilityCurrent,645
OtherNoncurrentLiabilities,644
MarginDepositAssets,643
ReceivablesFromCustomers,642
DeferredCreditsAndOtherLiabilities,641
NotesReceivableGross,633
ObligationToReturnSecuritiesReceivedAsCollateral,631
LoansReceivableFairValueDisclosure,629
OtherReserves,627
DeferredIncomeTaxesAndOtherAssetsNoncurrent,627
DeferredPolicyAcquisitionCostsAndValueOfBusinessAcquired,625
DepositLiabilityCurrent,624
FederalHomeLoanBankAdvances,623
DeferredCompensationPlanAssets,621
DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,620
TimeDepositsAtCarryingValue,619
ProductWarrantyAccrual,619
DebtLongtermAndShorttermCombinedAmount,619
PublicUtilitiesInventory,617
AccruedProfessionalFeesCurrentAndNoncurrent,614
OtherIndefiniteLivedIntangibleAssets,614
HeldToMaturitySecuritiesAmortizedCostBeforeOtherThanTemporaryImpairment,607
SaleLeasebackTransactionDeferredGainNet,606
WorkersCompensationLiabilityNoncurrent,606
LongTermNotesAndLoans,605
AdditionalPaidInCapitalPreferredStock,604
FundsHeldUnderReinsuranceAgreementsAsset,604
FinanceLeaseRightOfUseAsset,604
PrepaidExpenseOtherNoncurrent,594
AccumulatedOtherComprehensiveIncome,588
TenantImprovements,584
PrepaidRent,584
LongTermDebtFairValue,584
DeferredIncomeTaxesAndOtherAssetsCurrent,577
CustomerAdvancesForConstruction,577
DueToAffiliateNoncurrent,575
AllowanceForNotesAndLoansReceivableNoncurrent,568
AccruedLiabilities,568
CapitalLeasesNetInvestmentInDirectFinancingLeases,563
UnsecuredDebtCurrent,563
NoncontrollingInterestInVariableInterestEntity,563
EnergyRelatedInventory,563
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,562
